映射方式,专业ID,厂家ID,设备类型ID,告警对象类型ID,告警标题,厂家告警ID,告警解析辅助字段,厂家告警级别,适用的厂家版本号,告警类型,层速率,设备单板,网管告警级别,网管告警ID,告警解释,告警逻辑分类,告警逻辑子类,该事件对设备的影响,该事件对业务的影响,告警标准名,业务类型,业务信息,是否与对端网元相关,是否上报集团,告警唯一标识,发生时间,清除时间,省,地市ID,区县,网元名称,网元ID,告警定位对象名称,告警定位对象ID,定位信息,告警清除状态,网管告警流水号,设备类型名称,厂家,timestamp,告警发生与清除的时间差,告警标题出现次数
标准,2,15,104,104,FAILURE IN SIGNALLING LINK ACTIVATION OR RESTORATION,2072,,Major,M13/M14/M16,设备原始告警,,,2,0211-002-103-10-000506,信令链路中断,信令与IP,链路故障,设备局部故障,无影响,信令链路中断,,,否,否,162_7199_10.154.199.14,2019-09-14 00:06:38,2019-09-14 00:15:17,湖南省,2000,,CSGS32,,CSGS32,,003D 03 00 01,已清除,2091177214,MSC SERVER,诺基亚,1568419598,519,1
标准,6,6,1402,32004,Smartgroup接口失效告警,596-3504,"Smartgroup接口无法正常工作,比如无法接收发送报文",2,U31,设备原始告警,速率无关,未知,2,0404-008-034-10-001727,传输告警,通信,端口,可能设备局部故障,业务受影响,Smartgroup接口失效告警,,,否,否,HYA-U31-2-P_1566480526848,2019-09-14 00:07:22,2019-09-14 00:16:57,湖南省,2003,石鼓区,衡阳蒸湘区华新移动大楼二楼调度扩二,,衡阳蒸湘区华新移动大楼二楼调度扩二：槽位号=255：端口号=6,,HYA-U31-2-P:340014(P):/rack=0/shelf=1/slot=255/port=124_6,已清除,2091180840,PTN,中兴,1568419642,575,4
标准,8,24,6015,6015,一体化设备采集器通信状态告警,,基站,1,无,设备原始告警,,,2,698-076-00-076003,涵盖具备智能设备采集，以及非智能的温度、湿度、火警、门碰、水浸、红外等采集；或者蓄电池采集、视频采集、节能等多种设备的综合采集器通信状态告警。,采集设备通信中断告警,设备局部故障,可能业务受影响,无,一体化设备采集器通信状态告警,,,否,否,92727BB2BD3D2A72E05352801DAC1176,2019-09-14 00:10:02,2019-09-14 01:47:13,湖南省,2011,麻阳县,怀化麻阳江溪,,麻阳县江溪无线机房,,,已清除,2091190826,监控设备,鑫天兴,1568419802,5831,81
标准,8,24,6015,6015,一体化设备采集器通信状态告警,,基站,1,无,设备原始告警,,,2,698-076-00-076003,涵盖具备智能设备采集，以及非智能的温度、湿度、火警、门碰、水浸、红外等采集；或者蓄电池采集、视频采集、节能等多种设备的综合采集器通信状态告警。,采集设备通信中断告警,设备局部故障,可能业务受影响,无,一体化设备采集器通信状态告警,,,否,否,92727B1A2A5D9299E05351801DACA4E0,2019-09-14 00:12:47,2019-09-14 02:00:19,湖南省,2008,新宁县,新宁县狮子寨无线机房(olt),,新宁县狮子寨无线机房,,,已清除,2091200281,监控设备,鑫天兴,1568419967,6452,81
标准,1,1,929,929,Sync Reference Excessive Wander,0,,2,,设备原始告警,,,2,0103-001-006-10-000414,同步参考丢失超过门限,话务处理,中央处理器故障,无影响,无影响,同步参考过度失步,,,否,否,255870722_10.154.21.118,2019-09-14 00:13:07,2019-09-14 01:06:07,湖南省,2013,岳阳县,YUYYYXchanghuxhjcEL-R6601258824PT,,YUYYYXchanghuxhjcEL-R6601258824PT,,"SubNetwork=ONRM_ROOT_MO,SubNetwork=Yueyangxian,MeContext=YUYYYXchanghuxhjcEL-R6601258824PT,ManagedElement=1,TransportNetwork=1,Synchronization=1",已清除,2091200974,eNodeB,中兴,1568419987,3180,4
标准,1,5,929,929,基站S1控制面传输中断告警,29213,,CRITICAL,BTS3900BTS5900 V100R013C10SPC150,设备原始告警,,,1,0103-007-006-10-000255,"当基站同一运营商下所有承载S1Interface的SCTP链路（链路个数不少于2条，且不包括IOPS特性使用的S1Interface的SCTP链路）状态异常，产生此告警。该告警产生时,该运营商已产生的S1接口故障和承载S1接口的SCTP故障告警会恢复。当基站同一运营商下有一条承载S1Interface的SCTP链路(不包括IOPS特性使用的S1Interface的SCTP链路)状态恢复时，且该状态持续90秒（默认）一直可用时，则上报告警恢复。",话务处理,链路故障,设备全阻,业务受影响,基站S1控制面传输中断告警,,,否,否,151544714_10.154.17.19,2019-09-14 00:13:38,2019-09-14 12:26:20,湖南省,2003,衡阳县,衡阳衡阳县连政拉远HL-D3900775959PT,,衡阳衡阳县连政拉远HL-D3900775959PT,,"NeType: BTS3900 LTE| NeLocation: 衡阳| vendor: | neName: 衡阳衡阳县连政拉远HL-D3900775959PT| alarmName: 基站S1控制面传输中断告警| alarmLocation: eNodeB名称=衡阳衡阳县连政拉远HL-D3900775959PT, 运营商索引=0| appendInfo: 基站制式=L, 影响制式=L, 部署标识=NULL, 累计时长(s)=90, eNodeBId=775959",已清除,2093987532,eNodeB,华为,1568420018,43962,131
标准,6,6,1402,32004,ATM光端口 M4接口(LOF)状态指示,,,2,U31,设备原始告警,速率无关,,2,0101-006-002-20-000001,,,,,未取到,ATM光端口 M4接口(LOF)状态指示,,,否,否,UN-E300-1-P_1566452927223,2019-09-14 00:15:01,2019-09-15 00:00:28,湖南省,2014,,269901776(P),,269901776(P)：槽位号=2：端口号=1,,UN-E300-1-P:269901776(P):/rack=0/shelf=1/slot=2/port=103_1,已清除,2091204650,PTN,北电,1568420101,85527,2
标准,6,6,1402,32004,ATM光端口 M4接口(LOF)状态指示,,,2,U31,设备原始告警,速率无关,,2,0101-006-002-20-000001,,,,,未取到,ATM光端口 M4接口(LOF)状态指示,,,否,否,UN-E300-1-P_1566452927227,2019-09-14 00:15:05,2019-09-15 00:00:30,湖南省,2014,,269901610(P),,269901610(P)：槽位号=12：端口号=1,,UN-E300-1-P:269901610(P):/rack=0/shelf=1/slot=12/port=103_1,已清除,2091204905,PTN,北电,1568420105,85525,2
标准,2,6,104,104,模块与OMP之间的控制面通讯异常,8393988,,2,V3.07,设备原始告警,,,2,0211-008-103-10-000174,1.该MP在数据库中配置了，但是单板没有正常上电2.MP上电，但是与OMP之间控制面断链,处理器模块,单元故障,可能设备局部故障,可能业务受影响,模块与OMP之间的控制面通讯异常,,,否,否,1568094301714_10.154.24.9,2019-09-14 00:15:43,2019-09-14 00:22:34,湖南省,2009,,JISGS1,,JISGS1,,"rack=1,shelf=2,board=12,cpu=1",已清除,2091210575,MSC SERVER,中兴,1568420143,411,3
标准,1,5,929,929,基站S1控制面传输中断告警,29213,,CRITICAL,BTS3900BTS5900 V100R013C10SPC150,设备原始告警,,,1,0103-007-006-10-000255,"当基站同一运营商下所有承载S1Interface的SCTP链路（链路个数不少于2条，且不包括IOPS特性使用的S1Interface的SCTP链路）状态异常，产生此告警。该告警产生时,该运营商已产生的S1接口故障和承载S1接口的SCTP故障告警会恢复。当基站同一运营商下有一条承载S1Interface的SCTP链路(不包括IOPS特性使用的S1Interface的SCTP链路)状态恢复时，且该状态持续90秒（默认）一直可用时，则上报告警恢复。",话务处理,链路故障,设备全阻,业务受影响,基站S1控制面传输中断告警,,,否,否,151544763_10.154.17.19,2019-09-14 00:18:42,2019-09-14 12:28:41,湖南省,2003,衡阳县,衡阳衡阳县牌楼冲HL-D3900256279PT,,衡阳衡阳县牌楼冲HL-D3900256279PT,,"NeType: BTS3900 LTE| NeLocation: 衡阳| vendor: | neName: 衡阳衡阳县牌楼冲HL-D3900256279PT| alarmName: 基站S1控制面传输中断告警| alarmLocation: eNodeB名称=衡阳衡阳县牌楼冲HL-D3900256279PT, 运营商索引=0| appendInfo: 基站制式=L, 影响制式=L, 部署标识=NULL, 累计时长(s)=90, eNodeBId=256279",已清除,2093996487,eNodeB,华为,1568420322,43799,131
标准,1,1,200,200,RADIO TRANSMISSION IP GB INTERFACE FAULT,,,2,,设备原始告警,,,1,0101-001-002-20-000001,,,,,未取到,,,,否,否,15963497_10.154.27.70,2019-09-14 00:19:00,2019-09-14 00:29:00,湖南省,2013,岳阳楼区,YUY-EBSC-13,,YUY-EBSC-13,,"SubNetwork=ONRM_ROOT_MO,SubNetwork=HuNAXE,ManagedElement=EBSC13",已清除,2091223922,BSC,中兴,1568420340,600,11
标准,2,6,104,104,单板未插紧,5635,,2,V3.07,设备原始告警,,,2,0211-008-103-10-000074,1. 单板ENUM开关打开或ENUM开关接触不良。2. 备板的EXCH按钮在3秒内连续按了2次。,处理器模块,单元故障,可能设备局部故障,可能业务受影响,单板未插紧,,,否,否,1568094301729_10.154.24.9,2019-09-14 00:19:01,2019-09-14 00:30:25,湖南省,2009,,JISGS1,,JISGS1,,"rack=1,shelf=2,board=11,cpu=1",已清除,2091222494,MSC SERVER,中兴,1568420341,684,1
标准,6,5,1403,32004,ODU_SNCP_PS,1-12541,,2,U2000V2R16,设备原始告警,速率无关,线路盘,2,0403-007-033-10-000204,ODU SNCP保护倒换,通信,倒换,可能设备局部故障,可能业务受影响,ODU_SNCP_PS,,,是,否,ZJJ-U2000-21-P_76070865,2019-09-14 00:21:22,2019-09-14 00:31:22,湖南省,2010,永定区,张家界永定区三角坪-城域环1OTN-HW-OADM-1,,张家界永定区三角坪-城域环1OTN-HW-OADM-1-1-1-17-TN12D40 (TN12D4002)-4,,ZJJ-U2000-21-P:262150:/rack=1/shelf=262150/slot=17/domain=wdm/port=4,已清除,2091230404,OTN,华为,1568420482,600,28
标准,2,15,32016,32016,MSC POOL局间切出成功率低于一级门限,0,,,无,设备原始告警,,,1,010-103-90-800022,局间切出成功率数值为0或低于90%,网络性能,设备性能告警,设备性能下降,可能业务受影响,MSC POOL局间切出成功率低于一级门限,,,否,否,103592531_10.154.33.189,2019-09-14 00:25:01,2019-09-14 01:16:57,湖南省,2000,,CSMSCPOOL2,,CSMSCPOOL2,,,已清除,2091242757,POOL,Citrix,1568420701,3116,3
标准,2,15,32016,32016,MSC POOL局间切入成功率低于一级门限,0,,,无,设备原始告警,,,1,010-103-90-800021,局间切入成功率数值为0或低于90%,网络性能,设备性能告警,设备性能下降,可能业务受影响,MSC POOL局间切入成功率低于一级门限,,,否,否,103592529_10.154.33.189,2019-09-14 00:25:01,2019-09-14 01:16:57,湖南省,2000,,CSMSCPOOL2,,CSMSCPOOL2,,,已清除,2091242715,POOL,Citrix,1568420701,3116,1
标准,1,5,929,929,BBU IR接口异常告警,26324,,MAJOR,BTS3900BTS5900 V100R013C10SPC150,设备原始告警,,,2,0103-007-006-10-000160,当BBU与下级射频单元间的链路（链路层）数据收发异常时，产生此告警。当该链路数据收发正常后，且该状态持续1.5分钟（默认）时，则上报告警恢复。告警产生和恢复的时长可以通过SET ALMFILTER命令进行设置。,信令与IP,链路故障,设备局部故障,业务受影响,BBU IR接口异常告警,,,否,否,36458761_10.154.17.199,2019-09-14 00:25:39,2019-09-14 01:14:07,湖南省,2002,芦淞区,株洲芦淞南方中学微站HL-D3900391702PT,,株洲芦淞南方中学微站HL-D3900391702PT,,"NeType: BTS3900 LTE| NeLocation: 株洲| vendor: | neName: 株洲芦淞南方中学微站HL-D3900391702PT| alarmName: BBU IR接口异常告警| alarmLocation: 柜号=0, 框号=0, 槽号=4, 端口号=0, 单板类型=UBBP, 具体问题=IR接口接收异常| appendInfo: 基站制式=L, 影响制式=L, 部署标识=NULL, 累计时长(s)=90, eNodeBId=391702",已清除,2091301883,eNodeB,华为,1568420739,2908,55
标准,2,6,104,104,T网中心故障,8394008,,2,V3.07,设备原始告警,,,2,0211-008-103-10-000175,大T网中心单板发生故障,处理器模块,单元故障,可能设备局部故障,可能业务受影响,T网中心故障,,,否,否,1568094302375_10.154.24.9,2019-09-14 00:28:21,2019-09-14 00:48:07,湖南省,2009,,JISGS1,,JISGS1,,"rack=1,shelf=2,board=11,cpu=1",已清除,2091321231,MSC SERVER,中兴,1568420901,1186,1
标准,2,5,903,903,M3UA目的实体不可达,1817,,紧急告警,G9MSC90MSOFTX3000V100R002,设备原始告警,,,1,0211-007-105-10-000018,无线侧设备,信令与IP,目的信令点不可达,设备局部故障,业务受影响,M3UA目的实体不可达,,,是,是,62002170_10.0.111.196,2019-09-14 00:28:55,2019-09-14 01:22:01,湖南省,2014,,CSSSA2,,CSSSA2,,"目的实体名称=JISGS01(619), 本地实体名称=CSCMN2(1), NI=2 , OPC=0x12FB03, DPC=0x12FF37",已清除,2091260329,SSA,华为,1568420935,3186,6
标准,2,5,903,903,M3UA路由不可用,1815,,紧急告警,G9MSC90MSOFTX3000V100R002,设备原始告警,,,2,0211-007-105-10-000017,无线侧设备,信令与IP,链路组故障,设备局部故障,可能业务受影响,M3UA路由不可用,,,是,是,23054572_10.0.111.132,2019-09-14 00:28:55,2019-09-14 03:21:11,湖南省,2014,,CSSSA1,,CSSSA1,,"目的实体名称=JISGS01(619), 链路集名称=JISGS01_CMN1(619)",已清除,2091260230,SSA,华为,1568420935,10336,6
标准,2,5,903,903,M3UA目的实体不可达,1817,,紧急告警,G9MSC90MSOFTX3000V100R002,设备原始告警,,,1,0211-007-105-10-000018,无线侧设备,信令与IP,目的信令点不可达,设备局部故障,业务受影响,M3UA目的实体不可达,,,是,是,23054574_10.0.111.132,2019-09-14 00:28:55,2019-09-14 03:21:15,湖南省,2014,,CSSSA1,,CSSSA1,,"目的实体名称=JISGS01(619), 本地实体名称=CSCMN1(0), NI=2 , OPC=0x12FB02, DPC=0x12FF37",已清除,2091260250,SSA,华为,1568420935,10340,6
标准,2,5,903,903,M3UA路由不可用,1815,,紧急告警,G9MSC90MSOFTX3000V100R002,设备原始告警,,,2,0211-007-105-10-000017,无线侧设备,信令与IP,链路组故障,设备局部故障,可能业务受影响,M3UA路由不可用,,,是,是,62002169_10.0.111.196,2019-09-14 00:28:55,2019-09-14 03:21:28,湖南省,2014,,CSSSA2,,CSSSA2,,"目的实体名称=JISGS01(619), 链路集名称=JISGS01_CMN2(619)",已清除,2091260153,SSA,华为,1568420935,10353,6
标准,1,5,929,929,BBU IR接口异常告警,26324,,MAJOR,BTS3900BTS5900 V100R013C10SPC150,设备原始告警,,,2,0103-007-006-10-000160,无线侧设备,信令与IP,链路故障,设备局部故障,业务受影响,BBU IR接口异常告警,,,否,否,37508382_10.154.18.9,2019-09-14 00:30:13,2019-09-15 17:32:53,湖南省,2000,长沙县,长沙星沙龙塘小区笔墨轩微站HL-D3900472480PT,,长沙星沙龙塘小区笔墨轩微站HL-D3900472480PT,,"NeType: BTS3900 LTE| NeLocation: 长沙| vendor: 华为| neName: 长沙星沙龙塘小区笔墨轩微站HL-D3900472480PT| alarmName: BBU IR接口异常告警| alarmLocation: 柜号=0, 框号=0, 槽号=4, 端口号=1, 子端口号=0, 单板类型=LBBP, 具体问题=IR接口发送异常| appendInfo: 基站制式=L, 影响制式=L, 部署标识=NULL, 累计时长(s)=150, eNodeBId=472480",已清除,2091269860,eNodeB,华为,1568421013,147760,55
标准,2,5,104,104,M3UA目的实体不可达,1817,,紧急,G9MSC90MSOFTX3000V100R005/G9MSC90MSOFTX3000V100R006/G9MSC90MSOFTX3000V100R007C03/G9MSC90MSOFTX3000V100R007C05/G9MSC90MSOFTX3000V200R008C02/G9MSC90MSOFTX3000V200R008C03/G9MSC90MSOFTX3000V100R007C10,设备原始告警,,,1,0211-007-103-10-000044,无线侧设备,信令与IP,目的信令点不可达,可能设备局部故障,业务受影响,M3UA目的实体不可达,,,是,是,2186773_10.154.17.26,2019-09-14 00:30:18,2019-09-14 00:57:05,湖南省,2010,,ZJJGS1,,ZJJGS1,,"局向名称=ZJJGM1-JISGS1(82), 目的实体名称=ZJJGM1-JISGS1(82), 本地实体名称=ZJJGS1-ZJJGM1-NAT(0), 网络指示=国内主用网, 源信令点编码=H'12FF27, 目的信令点编码=H'12FF37",已清除,2091261048,MSC SERVER,华为,1568421018,1607,6
标准,2,5,104,104,M3UA路由不可用,1815,,紧急,G9MSC90MSOFTX3000V100R005/G9MSC90MSOFTX3000V100R006/G9MSC90MSOFTX3000V100R007C03/G9MSC90MSOFTX3000V100R007C05/G9MSC90MSOFTX3000V200R008C02/G9MSC90MSOFTX3000V200R008C03/G9MSC90MSOFTX3000V100R007C10,设备原始告警,,,2,0211-007-103-10-000043,无线侧设备,信令与IP,链路组故障,可能设备局部故障,可能业务受影响,M3UA路由不可用,,,是,否,2186772_10.154.17.26,2019-09-14 00:30:18,2019-09-14 00:57:05,湖南省,2010,,ZJJGS1,,ZJJGS1,,"目的实体名称=ZJJGM1-JISGS1(82), 链路集名称=ZJJGM1-JISGS1(82), 路由名称=ZJJGM1-JISGS1(16), 相邻实体名称=ZJJGM1-JISGS1(82), 网络指示=国内主用网, 目的信令点编码(与该路由关联)=H'12FF37, 相邻信令点编码=H'12FF37, 源信令点编码=H'12FF27",已清除,2091260979,MSC SERVER,华为,1568421018,1607,6
标准,2,5,104,104,STC 退出服务,2614,,紧急,G9MSC90MSOFTX3000V100R005/G9MSC90MSOFTX3000V100R006/G9MSC90MSOFTX3000V100R007C03/G9MSC90MSOFTX3000V100R007C05/G9MSC90MSOFTX3000V200R008C02/G9MSC90MSOFTX3000V200R008C03/G9MSC90MSOFTX3000V100R007C10,设备原始告警,,,1,0211-007-103-10-000160,无线侧设备,话务处理,交换机处理能力,无影响,业务受影响,STC 退出服务,,,是,否,2186778_10.154.17.26,2019-09-14 00:30:33,2019-09-14 00:57:06,湖南省,2010,,ZJJGS1,,ZJJGS1,,局向名称=ZJJGM1-JISGS1(82),已清除,2091261849,MSC SERVER,华为,1568421033,1593,1
标准,2,6,104,104,M3UA局向不可达,8400384,,2,V3.07,设备原始告警,,,2,0211-008-103-10-000186,无线侧设备,信令与IP,目的信令点不可达,可能设备局部故障,可能业务受影响,M3UA局向不可达,,,是,否,1568094302134_10.154.24.9,2019-09-14 00:30:55,2019-09-14 08:19:30,湖南省,2011,,HUHGS2,,HUHGS2,,"rack=1,shelf=2,board=12,cpu=1",已清除,2091263643,MSC SERVER,中兴,1568421055,28115,26
标准,2,5,104,104,局向的不可用电路数超过阈值,2396,,重要,G9MSC90MSOFTX3000V100R007C05/G9MSC90MSOFTX3000V200R008C03/G9MSC90MSOFTX3000V100R007C10,设备原始告警,,,2,0211-007-103-10-000627,无线侧设备,中继与传输,中继电路故障,可能设备局部故障,可能业务受影响,局向的不可用电路数超过阈值,,,否,否,2186779_10.154.17.26,2019-09-14 00:31:05,2019-09-14 00:57:06,湖南省,2010,,ZJJGS1,,ZJJGS1,,"局向名称=ZJJGM1-JISGS1(82), 设备类型=BICC, 严重级别=重要, 安装电路数=320, 故障电路数=0, 闭塞电路数=320, 未知电路数=0, 不可用电路百分比=100%",已清除,2091264026,MSC SERVER,华为,1568421065,1561,1
标准,1,15,929,929,BASE STATION FAULTY,76503080,,1,TL15A/TL16A,设备原始告警,,,2,0103-002-006-10-000577,当基站的参考时钟监控功能没有收到同步参考信号的时候产生该告警。如果最高级别同步源(1PPS)存在，不管低级别的同步源的状态是什么，该告警均不产生,话务处理,GPS天线故障,设备全阻,业务全阻,7650基站退服:基站参考时钟丢失,,,否,否,2728650_10.154.20.177,2019-09-14 00:31:10,2019-09-14 00:37:00,湖南省,2007,涟源市,LDILY-ZhangShuNL-FSIH971535PT,,LDILY-ZhangShuNL-FSIH971535PT,,PLMN-PLMN/MRBTS-971535/LNBTS-971535,已清除,2091264774,eNodeB,诺基亚,1568421070,350,47
