映射方式,专业ID,厂家ID,设备类型ID,告警对象类型ID,告警标题,厂家告警ID,告警解析辅助字段,厂家告警级别,适用的厂家版本号,告警类型,层速率,设备单板,网管告警级别,网管告警ID,告警解释,告警逻辑分类,告警逻辑子类,该事件对设备的影响,该事件对业务的影响,告警标准名,业务类型,业务信息,是否与对端网元相关,是否上报集团,告警唯一标识,发生时间,清除时间,省,地市ID,区县,网元名称,网元ID,告警定位对象名称,告警定位对象ID,定位信息,告警清除状态,网管告警流水号,设备类型名称,厂家,timestamp,告警发生与清除的时间差,告警标题出现次数
标准,1,1,929,929,Sync Reference Excessive Wander,0,,2,,设备原始告警,,,2,0103-001-006-10-000414,同步参考丢失超过门限,话务处理,中央处理器故障,无影响,无影响,同步参考过度失步,,,否,否,255870722_10.154.21.118,2019-09-14 00:13:07,2019-09-14 01:06:07,湖南省,2013,岳阳县,YUYYYXchanghuxhjcEL-R6601258824PT,,YUYYYXchanghuxhjcEL-R6601258824PT,,"SubNetwork=ONRM_ROOT_MO,SubNetwork=Yueyangxian,MeContext=YUYYYXchanghuxhjcEL-R6601258824PT,ManagedElement=1,TransportNetwork=1,Synchronization=1",已清除,2091200974,eNodeB,中兴,1568419987,3180,4
标准,1,5,929,929,基站S1控制面传输中断告警,29213,,CRITICAL,BTS3900BTS5900 V100R013C10SPC150,设备原始告警,,,1,0103-007-006-10-000255,"当基站同一运营商下所有承载S1Interface的SCTP链路（链路个数不少于2条，且不包括IOPS特性使用的S1Interface的SCTP链路）状态异常，产生此告警。该告警产生时,该运营商已产生的S1接口故障和承载S1接口的SCTP故障告警会恢复。当基站同一运营商下有一条承载S1Interface的SCTP链路(不包括IOPS特性使用的S1Interface的SCTP链路)状态恢复时，且该状态持续90秒（默认）一直可用时，则上报告警恢复。",话务处理,链路故障,设备全阻,业务受影响,基站S1控制面传输中断告警,,,否,否,151544714_10.154.17.19,2019-09-14 00:13:38,2019-09-14 12:26:20,湖南省,2003,衡阳县,衡阳衡阳县连政拉远HL-D3900775959PT,,衡阳衡阳县连政拉远HL-D3900775959PT,,"NeType: BTS3900 LTE| NeLocation: 衡阳| vendor: | neName: 衡阳衡阳县连政拉远HL-D3900775959PT| alarmName: 基站S1控制面传输中断告警| alarmLocation: eNodeB名称=衡阳衡阳县连政拉远HL-D3900775959PT, 运营商索引=0| appendInfo: 基站制式=L, 影响制式=L, 部署标识=NULL, 累计时长(s)=90, eNodeBId=775959",已清除,2093987532,eNodeB,华为,1568420018,43962,131
标准,6,6,1402,32004,ATM光端口 M4接口(LOF)状态指示,,,2,U31,设备原始告警,速率无关,,2,0101-006-002-20-000001,,,,,未取到,ATM光端口 M4接口(LOF)状态指示,,,否,否,UN-E300-1-P_1566452927223,2019-09-14 00:15:01,2019-09-15 00:00:28,湖南省,2014,,269901776(P),,269901776(P)：槽位号=2：端口号=1,,UN-E300-1-P:269901776(P):/rack=0/shelf=1/slot=2/port=103_1,已清除,2091204650,PTN,北电,1568420101,85527,2
标准,6,6,1402,32004,ATM光端口 M4接口(LOF)状态指示,,,2,U31,设备原始告警,速率无关,,2,0101-006-002-20-000001,,,,,未取到,ATM光端口 M4接口(LOF)状态指示,,,否,否,UN-E300-1-P_1566452927227,2019-09-14 00:15:05,2019-09-15 00:00:30,湖南省,2014,,269901610(P),,269901610(P)：槽位号=12：端口号=1,,UN-E300-1-P:269901610(P):/rack=0/shelf=1/slot=12/port=103_1,已清除,2091204905,PTN,北电,1568420105,85525,2
标准,2,6,104,104,模块与OMP之间的控制面通讯异常,8393988,,2,V3.07,设备原始告警,,,2,0211-008-103-10-000174,1.该MP在数据库中配置了，但是单板没有正常上电2.MP上电，但是与OMP之间控制面断链,处理器模块,单元故障,可能设备局部故障,可能业务受影响,模块与OMP之间的控制面通讯异常,,,否,否,1568094301714_10.154.24.9,2019-09-14 00:15:43,2019-09-14 00:22:34,湖南省,2009,,JISGS1,,JISGS1,,"rack=1,shelf=2,board=12,cpu=1",已清除,2091210575,MSC SERVER,中兴,1568420143,411,3
标准,1,5,929,929,基站S1控制面传输中断告警,29213,,CRITICAL,BTS3900BTS5900 V100R013C10SPC150,设备原始告警,,,1,0103-007-006-10-000255,"当基站同一运营商下所有承载S1Interface的SCTP链路（链路个数不少于2条，且不包括IOPS特性使用的S1Interface的SCTP链路）状态异常，产生此告警。该告警产生时,该运营商已产生的S1接口故障和承载S1接口的SCTP故障告警会恢复。当基站同一运营商下有一条承载S1Interface的SCTP链路(不包括IOPS特性使用的S1Interface的SCTP链路)状态恢复时，且该状态持续90秒（默认）一直可用时，则上报告警恢复。",话务处理,链路故障,设备全阻,业务受影响,基站S1控制面传输中断告警,,,否,否,151544763_10.154.17.19,2019-09-14 00:18:42,2019-09-14 12:28:41,湖南省,2003,衡阳县,衡阳衡阳县牌楼冲HL-D3900256279PT,,衡阳衡阳县牌楼冲HL-D3900256279PT,,"NeType: BTS3900 LTE| NeLocation: 衡阳| vendor: | neName: 衡阳衡阳县牌楼冲HL-D3900256279PT| alarmName: 基站S1控制面传输中断告警| alarmLocation: eNodeB名称=衡阳衡阳县牌楼冲HL-D3900256279PT, 运营商索引=0| appendInfo: 基站制式=L, 影响制式=L, 部署标识=NULL, 累计时长(s)=90, eNodeBId=256279",已清除,2093996487,eNodeB,华为,1568420322,43799,131
标准,1,1,200,200,RADIO TRANSMISSION IP GB INTERFACE FAULT,,,2,,设备原始告警,,,1,0101-001-002-20-000001,,,,,未取到,,,,否,否,15963497_10.154.27.70,2019-09-14 00:19:00,2019-09-14 00:29:00,湖南省,2013,岳阳楼区,YUY-EBSC-13,,YUY-EBSC-13,,"SubNetwork=ONRM_ROOT_MO,SubNetwork=HuNAXE,ManagedElement=EBSC13",已清除,2091223922,BSC,中兴,1568420340,600,11
标准,2,6,104,104,单板未插紧,5635,,2,V3.07,设备原始告警,,,2,0211-008-103-10-000074,1. 单板ENUM开关打开或ENUM开关接触不良。2. 备板的EXCH按钮在3秒内连续按了2次。,处理器模块,单元故障,可能设备局部故障,可能业务受影响,单板未插紧,,,否,否,1568094301729_10.154.24.9,2019-09-14 00:19:01,2019-09-14 00:30:25,湖南省,2009,,JISGS1,,JISGS1,,"rack=1,shelf=2,board=11,cpu=1",已清除,2091222494,MSC SERVER,中兴,1568420341,684,1
标准,6,5,1403,32004,ODU_SNCP_PS,1-12541,,2,U2000V2R16,设备原始告警,速率无关,线路盘,2,0403-007-033-10-000204,ODU SNCP保护倒换,通信,倒换,可能设备局部故障,可能业务受影响,ODU_SNCP_PS,,,是,否,ZJJ-U2000-21-P_76070865,2019-09-14 00:21:22,2019-09-14 00:31:22,湖南省,2010,永定区,张家界永定区三角坪-城域环1OTN-HW-OADM-1,,张家界永定区三角坪-城域环1OTN-HW-OADM-1-1-1-17-TN12D40 (TN12D4002)-4,,ZJJ-U2000-21-P:262150:/rack=1/shelf=262150/slot=17/domain=wdm/port=4,已清除,2091230404,OTN,华为,1568420482,600,28
标准,2,15,32016,32016,MSC POOL局间切出成功率低于一级门限,0,,,无,设备原始告警,,,1,010-103-90-800022,局间切出成功率数值为0或低于90%,网络性能,设备性能告警,设备性能下降,可能业务受影响,MSC POOL局间切出成功率低于一级门限,,,否,否,103592531_10.154.33.189,2019-09-14 00:25:01,2019-09-14 01:16:57,湖南省,2000,,CSMSCPOOL2,,CSMSCPOOL2,,,已清除,2091242757,POOL,Citrix,1568420701,3116,3
标准,2,15,32016,32016,MSC POOL局间切入成功率低于一级门限,0,,,无,设备原始告警,,,1,010-103-90-800021,局间切入成功率数值为0或低于90%,网络性能,设备性能告警,设备性能下降,可能业务受影响,MSC POOL局间切入成功率低于一级门限,,,否,否,103592529_10.154.33.189,2019-09-14 00:25:01,2019-09-14 01:16:57,湖南省,2000,,CSMSCPOOL2,,CSMSCPOOL2,,,已清除,2091242715,POOL,Citrix,1568420701,3116,1
标准,2,6,104,104,T网中心故障,8394008,,2,V3.07,设备原始告警,,,2,0211-008-103-10-000175,大T网中心单板发生故障,处理器模块,单元故障,可能设备局部故障,可能业务受影响,T网中心故障,,,否,否,1568094302375_10.154.24.9,2019-09-14 00:28:21,2019-09-14 00:48:07,湖南省,2009,,JISGS1,,JISGS1,,"rack=1,shelf=2,board=11,cpu=1",已清除,2091321231,MSC SERVER,中兴,1568420901,1186,1
标准,2,5,903,903,M3UA目的实体不可达,1817,,紧急告警,G9MSC90MSOFTX3000V100R002,设备原始告警,,,1,0211-007-105-10-000018,无线侧设备,信令与IP,目的信令点不可达,设备局部故障,业务受影响,M3UA目的实体不可达,,,是,是,62002170_10.0.111.196,2019-09-14 00:28:55,2019-09-14 01:22:01,湖南省,2014,,CSSSA2,,CSSSA2,,"目的实体名称=JISGS01(619), 本地实体名称=CSCMN2(1), NI=2 , OPC=0x12FB03, DPC=0x12FF37",已清除,2091260329,SSA,华为,1568420935,3186,6
标准,2,5,903,903,M3UA路由不可用,1815,,紧急告警,G9MSC90MSOFTX3000V100R002,设备原始告警,,,2,0211-007-105-10-000017,无线侧设备,信令与IP,链路组故障,设备局部故障,可能业务受影响,M3UA路由不可用,,,是,是,23054572_10.0.111.132,2019-09-14 00:28:55,2019-09-14 03:21:11,湖南省,2014,,CSSSA1,,CSSSA1,,"目的实体名称=JISGS01(619), 链路集名称=JISGS01_CMN1(619)",已清除,2091260230,SSA,华为,1568420935,10336,6
标准,2,5,903,903,M3UA目的实体不可达,1817,,紧急告警,G9MSC90MSOFTX3000V100R002,设备原始告警,,,1,0211-007-105-10-000018,无线侧设备,信令与IP,目的信令点不可达,设备局部故障,业务受影响,M3UA目的实体不可达,,,是,是,23054574_10.0.111.132,2019-09-14 00:28:55,2019-09-14 03:21:15,湖南省,2014,,CSSSA1,,CSSSA1,,"目的实体名称=JISGS01(619), 本地实体名称=CSCMN1(0), NI=2 , OPC=0x12FB02, DPC=0x12FF37",已清除,2091260250,SSA,华为,1568420935,10340,6
标准,2,5,903,903,M3UA路由不可用,1815,,紧急告警,G9MSC90MSOFTX3000V100R002,设备原始告警,,,2,0211-007-105-10-000017,无线侧设备,信令与IP,链路组故障,设备局部故障,可能业务受影响,M3UA路由不可用,,,是,是,62002169_10.0.111.196,2019-09-14 00:28:55,2019-09-14 03:21:28,湖南省,2014,,CSSSA2,,CSSSA2,,"目的实体名称=JISGS01(619), 链路集名称=JISGS01_CMN2(619)",已清除,2091260153,SSA,华为,1568420935,10353,6
标准,2,5,104,104,M3UA目的实体不可达,1817,,紧急,G9MSC90MSOFTX3000V100R005/G9MSC90MSOFTX3000V100R006/G9MSC90MSOFTX3000V100R007C03/G9MSC90MSOFTX3000V100R007C05/G9MSC90MSOFTX3000V200R008C02/G9MSC90MSOFTX3000V200R008C03/G9MSC90MSOFTX3000V100R007C10,设备原始告警,,,1,0211-007-103-10-000044,无线侧设备,信令与IP,目的信令点不可达,可能设备局部故障,业务受影响,M3UA目的实体不可达,,,是,是,2186773_10.154.17.26,2019-09-14 00:30:18,2019-09-14 00:57:05,湖南省,2010,,ZJJGS1,,ZJJGS1,,"局向名称=ZJJGM1-JISGS1(82), 目的实体名称=ZJJGM1-JISGS1(82), 本地实体名称=ZJJGS1-ZJJGM1-NAT(0), 网络指示=国内主用网, 源信令点编码=H'12FF27, 目的信令点编码=H'12FF37",已清除,2091261048,MSC SERVER,华为,1568421018,1607,6
标准,2,5,104,104,M3UA路由不可用,1815,,紧急,G9MSC90MSOFTX3000V100R005/G9MSC90MSOFTX3000V100R006/G9MSC90MSOFTX3000V100R007C03/G9MSC90MSOFTX3000V100R007C05/G9MSC90MSOFTX3000V200R008C02/G9MSC90MSOFTX3000V200R008C03/G9MSC90MSOFTX3000V100R007C10,设备原始告警,,,2,0211-007-103-10-000043,无线侧设备,信令与IP,链路组故障,可能设备局部故障,可能业务受影响,M3UA路由不可用,,,是,否,2186772_10.154.17.26,2019-09-14 00:30:18,2019-09-14 00:57:05,湖南省,2010,,ZJJGS1,,ZJJGS1,,"目的实体名称=ZJJGM1-JISGS1(82), 链路集名称=ZJJGM1-JISGS1(82), 路由名称=ZJJGM1-JISGS1(16), 相邻实体名称=ZJJGM1-JISGS1(82), 网络指示=国内主用网, 目的信令点编码(与该路由关联)=H'12FF37, 相邻信令点编码=H'12FF37, 源信令点编码=H'12FF27",已清除,2091260979,MSC SERVER,华为,1568421018,1607,6
标准,2,5,104,104,STC 退出服务,2614,,紧急,G9MSC90MSOFTX3000V100R005/G9MSC90MSOFTX3000V100R006/G9MSC90MSOFTX3000V100R007C03/G9MSC90MSOFTX3000V100R007C05/G9MSC90MSOFTX3000V200R008C02/G9MSC90MSOFTX3000V200R008C03/G9MSC90MSOFTX3000V100R007C10,设备原始告警,,,1,0211-007-103-10-000160,无线侧设备,话务处理,交换机处理能力,无影响,业务受影响,STC 退出服务,,,是,否,2186778_10.154.17.26,2019-09-14 00:30:33,2019-09-14 00:57:06,湖南省,2010,,ZJJGS1,,ZJJGS1,,局向名称=ZJJGM1-JISGS1(82),已清除,2091261849,MSC SERVER,华为,1568421033,1593,1
标准,2,6,104,104,M3UA局向不可达,8400384,,2,V3.07,设备原始告警,,,2,0211-008-103-10-000186,无线侧设备,信令与IP,目的信令点不可达,可能设备局部故障,可能业务受影响,M3UA局向不可达,,,是,否,1568094302134_10.154.24.9,2019-09-14 00:30:55,2019-09-14 08:19:30,湖南省,2011,,HUHGS2,,HUHGS2,,"rack=1,shelf=2,board=12,cpu=1",已清除,2091263643,MSC SERVER,中兴,1568421055,28115,26
标准,2,5,104,104,局向的不可用电路数超过阈值,2396,,重要,G9MSC90MSOFTX3000V100R007C05/G9MSC90MSOFTX3000V200R008C03/G9MSC90MSOFTX3000V100R007C10,设备原始告警,,,2,0211-007-103-10-000627,无线侧设备,中继与传输,中继电路故障,可能设备局部故障,可能业务受影响,局向的不可用电路数超过阈值,,,否,否,2186779_10.154.17.26,2019-09-14 00:31:05,2019-09-14 00:57:06,湖南省,2010,,ZJJGS1,,ZJJGS1,,"局向名称=ZJJGM1-JISGS1(82), 设备类型=BICC, 严重级别=重要, 安装电路数=320, 故障电路数=0, 闭塞电路数=320, 未知电路数=0, 不可用电路百分比=100%",已清除,2091264026,MSC SERVER,华为,1568421065,1561,1
标准,8,713,32404,32404,电池组总电压过低告警,7002,通信基站,紧急,,设备原始告警,,,2,0500-000-007-10-000029,蓄电池电压低,电池告警,,无影响,无影响,电池组总电压过低告警,,,否,否,131470903,2019-09-14 00:35:01,2019-09-14 10:25:51,湖南省,2007,涟源市,涟源市田心无线机房,,涟源市田心无线机房,,丰日500AH电池组,已清除,2091345588,,,1568421301,35450,8
标准,1,15,200,200,ASSOCIATION ROUTING FAILURE,3156,,Minor,RG30/SRAN16.10,设备原始告警,,,2,0101-002-002-10-000411,"关联路由失败,M3UA下发信令消息到STCP路由信息错误",输入输出外部设备,内部通信故障,无影响,业务质量下降,ASSOCIATION ROUTING FAILURE,,,否,否,1004594_10.154.26.177,2019-09-14 00:36:14,2019-09-14 01:37:11,湖南省,2011,鹤城区,HUH-NBSC-04,,HUH-NBSC-04,,01 03 0d 00000000 0149 D901,已清除,2091281665,BSC,诺基亚,1568421374,3657,10
标准,8,24,6015,6015,一体化设备采集器通信状态告警,,基站,1,无,设备原始告警,,,2,698-076-00-076003,涵盖具备智能设备采集，以及非智能的温度、湿度、火警、门碰、水浸、红外等采集；或者蓄电池采集、视频采集、节能等多种设备的综合采集器通信状态告警。,采集设备通信中断告警,设备局部故障,可能业务受影响,无,一体化设备采集器通信状态告警,,,否,否,9272E1091E684EE4E05352801DAC9F15,2019-09-14 00:38:22,2019-09-14 01:28:58,湖南省,2012,新田县,新田县公路局,,新田县公路局无线机房,,,已清除,2091289789,监控设备,鑫天兴,1568421502,3036,81
标准,8,24,6015,6015,一体化设备采集器通信状态告警,,基站,1,无,设备原始告警,,,2,698-076-00-076003,涵盖具备智能设备采集，以及非智能的温度、湿度、火警、门碰、水浸、红外等采集；或者蓄电池采集、视频采集、节能等多种设备的综合采集器通信状态告警。,采集设备通信中断告警,设备局部故障,可能业务受影响,无,一体化设备采集器通信状态告警,,,否,否,9272E87E2DD387C1E05353801DAC2B7C,2019-09-14 00:40:53,2019-09-14 03:07:19,湖南省,2009,永顺县,吉首市经开区污水处理厂新建,,永顺县朗溪乡楠木村无线机房,,,已清除,2091298607,监控设备,鑫天兴,1568421653,8786,81
标准,2,6,104,104,控制面重传率超过阀值,3841,,2,V3.07,设备原始告警,,,2,0211-008-103-10-000040,机架中有单板接触不良，导致RUDP重传增加；门限不可配置，重传率大于 10% 时告警。,信令与IP,链路故障,设备局部故障,业务受影响,控制面重传率超过阀值,,,否,否,1568094302382_10.154.24.9,2019-09-14 00:41:19,2019-09-14 01:07:03,湖南省,2009,,JISGS1,,JISGS1,,"rack=1,shelf=2,board=15,cpu=1",已清除,2091321584,MSC SERVER,中兴,1568421679,1544,1
标准,1,5,929,929,基站时钟失步告警,29251,,MAJOR,BTS3900BTS5900 V100R013C10SPC150,设备原始告警,,,1,0103-007-006-10-000268,当时钟失步检测特性检测本站发生时钟失步故障或疑似发生时钟失步故障时，产生此告警。当人工恢复时钟失步基站后，手动清除网管失步或失步嫌疑列表中的基站，告警自动清除。,中继与传输,同步时钟故障,可能设备局部故障,可能业务受影响,基站时钟失步告警,,,否,是,36458759_10.154.17.199,2019-09-14 00:41:56,2019-09-14 11:05:38,湖南省,2002,株洲县,株洲县白关金钩湾拉远HL-D3900254850PT,,株洲县白关金钩湾拉远HL-D3900254850PT,,"NeType: BTS3900 LTE| NeLocation: 株洲| vendor: | neName: 株洲县白关金钩湾拉远HL-D3900254850PT| alarmName: 基站时钟失步告警| alarmLocation: eNodeB名称=株洲县白关金钩湾拉远HL-D3900254850PT, 小区双工模式=TDD, 具体问题=时钟失步嫌疑| appendInfo: 基站制式=L, 影响制式=L, 部署标识=NULL, eNodeBId=254850",已清除,2091300738,eNodeB,华为,1568421716,37422,10
标准,8,24,6015,6015,一体化设备采集器通信状态告警,,基站,1,无,设备原始告警,,,2,698-076-00-076003,涵盖具备智能设备采集，以及非智能的温度、湿度、火警、门碰、水浸、红外等采集；或者蓄电池采集、视频采集、节能等多种设备的综合采集器通信状态告警。,采集设备通信中断告警,设备局部故障,可能业务受影响,无,一体化设备采集器通信状态告警,,,否,否,9272E23BA775B2B0E05351801DAC7A5D,2019-09-14 00:42:23,2019-09-14 02:21:53,湖南省,2008,新邵县,新邵县大树无线机房,,新邵县大树无线机房,,,已清除,2091303739,监控设备,鑫天兴,1568421743,5970,81
标准,6,5,1403,32004,MUT_LOS,1,,1,U2000V2R16,设备原始告警,速率无关,OA盘,1,0403-007-033-10-000058,传输告警,通信,端口,无影响,可能业务受影响,MUT_LOS,,,是,否,JIS-U2000-21-P_89499709,2019-09-14 00:43:28,2019-09-14 01:53:23,湖南省,2009,泸溪县,HW-泸溪县达岚镇达岚汇聚下沉(浦市方向)-OTN,,HW-泸溪县达岚镇达岚汇聚下沉(浦市方向)-OTN-1-0-5-TNF2OBU (TNF2OBU01)-1,,JIS-U2000-21-P:917820:/rack=1/shelf=917820/slot=5/domain=wdm/port=1,已清除,2091307049,OTN,华为,1568421808,4195,22
标准,8,24,6015,6015,一体化设备采集器通信状态告警,,基站,1,无,设备原始告警,,,2,698-076-00-076003,涵盖具备智能设备采集，以及非智能的温度、湿度、火警、门碰、水浸、红外等采集；或者蓄电池采集、视频采集、节能等多种设备的综合采集器通信状态告警。,采集设备通信中断告警,设备局部故障,可能业务受影响,无,一体化设备采集器通信状态告警,,,否,否,9272E61B64DE86C1E05353801DAC5A68,2019-09-14 00:43:33,2019-09-14 03:34:29,湖南省,2012,道县,道县红星路(移动重保站）,,道县红星路无线机房,,,已清除,2091307024,监控设备,鑫天兴,1568421813,10256,81
标准,8,24,6015,6015,一体化设备采集器通信状态告警,,基站,1,无,设备原始告警,,,2,698-076-00-076003,涵盖具备智能设备采集，以及非智能的温度、湿度、火警、门碰、水浸、红外等采集；或者蓄电池采集、视频采集、节能等多种设备的综合采集器通信状态告警。,采集设备通信中断告警,设备局部故障,可能业务受影响,无,一体化设备采集器通信状态告警,,,否,否,9272EDDA4D7852DBE05352801DACC955,2019-09-14 00:46:48,2019-09-14 05:46:45,湖南省,2008,新邵县,新邵县淘金无线机房,,新邵县淘金无线机房,,,已清除,2091317066,监控设备,鑫天兴,1568422008,17997,81
